artistMbid"	"tagname"	"tagcount"	"tagurl"
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	pop	100	http://www.last.fm/tag/pop
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	russian	76	http://www.last.fm/tag/russian
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	Ukrainian	50	http://www.last.fm/tag/ukrainian
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	dance	42	http://www.last.fm/tag/dance
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	Russian Pop	24	http://www.last.fm/tag/russian%20pop
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	female vocalists	20	http://www.last.fm/tag/female%20vocalists
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	rnb	9	http://www.last.fm/tag/rnb
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	sexy	5	http://www.last.fm/tag/sexy
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	Ukraine	5	http://www.last.fm/tag/ukraine
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	ukrainian pop	5	http://www.last.fm/tag/ukrainian%20pop
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	ViaGra	4	http://www.last.fm/tag/viagra
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	female	3	http://www.last.fm/tag/female
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	Via Gra	3	http://www.last.fm/tag/via%20gra
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	kircore	3	http://www.last.fm/tag/kircore
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	electronic	3	http://www.last.fm/tag/electronic
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	alternative	2	http://www.last.fm/tag/alternative
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	the worst thing ever to happen to music	2	http://www.last.fm/tag/the%20worst%20thing%20ever%20to%20happen%20to%20music
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	sweet pussy	2	http://www.last.fm/tag/sweet%20pussy
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	love songs	2	http://www.last.fm/tag/love%20songs
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	vagina and breasts	2	http://www.last.fm/tag/vagina%20and%20breasts
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	electro	2	http://www.last.fm/tag/electro
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	electronica	2	http://www.last.fm/tag/electronica
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	ukrainian music	2	http://www.last.fm/tag/ukrainian%20music
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	techno	2	http://www.last.fm/tag/techno
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	true russian punk rock	2	http://www.last.fm/tag/true%20russian%20punk%20rock
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	Meladze	1	http://www.last.fm/tag/meladze
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	anal-driven fecalomatateus	1	http://www.last.fm/tag/anal-driven%20fecalomatateus
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	boobs	1	http://www.last.fm/tag/boobs
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	vaginal vantus	1	http://www.last.fm/tag/vaginal%20vantus
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	Ukrainian Dance	1	http://www.last.fm/tag/ukrainian%20dance
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	cooter hole	1	http://www.last.fm/tag/cooter%20hole
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	fuckin vote for pictures	1	http://www.last.fm/tag/fuckin%20vote%20for%20pictures
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	mime of charisma	1	http://www.last.fm/tag/mime%20of%20charisma
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	masturbation fodder	1	http://www.last.fm/tag/masturbation%20fodder
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	popsa	1	http://www.last.fm/tag/popsa
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	erection music	1	http://www.last.fm/tag/erection%20music
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	dake-bonoism	1	http://www.last.fm/tag/dake-bonoism
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	cylindrical awareness	1	http://www.last.fm/tag/cylindrical%20awareness
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	grouper fish	1	http://www.last.fm/tag/grouper%20fish
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	grumpy still skin	1	http://www.last.fm/tag/grumpy%20still%20skin
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	where gods began	1	http://www.last.fm/tag/where%20gods%20began
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	cooter holes	1	http://www.last.fm/tag/cooter%20holes
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	filtered extremity	1	http://www.last.fm/tag/filtered%20extremity
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	swirling tunnel dreams	1	http://www.last.fm/tag/swirling%20tunnel%20dreams
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	christian mime	1	http://www.last.fm/tag/christian%20mime
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	allah approves	1	http://www.last.fm/tag/allah%20approves
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	muhammad had a penis	1	http://www.last.fm/tag/muhammad%20had%20a%20penis
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	does allah have a penis	1	http://www.last.fm/tag/does%20allah%20have%20a%20penis
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	queef noises	1	http://www.last.fm/tag/queef%20noises
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	i am ready to fuck her now	1	http://www.last.fm/tag/i%20am%20ready%20to%20fuck%20her%20now
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	sweet vagina	1	http://www.last.fm/tag/sweet%20vagina
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	verbal plenary inspiration	1	http://www.last.fm/tag/verbal%20plenary%20inspiration
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	erection inducing	1	http://www.last.fm/tag/erection%20inducing
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	breasts and vagina	1	http://www.last.fm/tag/breasts%20and%20vagina
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	i would explore that hole	1	http://www.last.fm/tag/i%20would%20explore%20that%20hole
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	i would like to spend an afternoon rubbing her breasts with warm mineral oil	1	http://www.last.fm/tag/i%20would%20like%20to%20spend%20an%20afternoon%20rubbing%20her%20breasts%20with%20warm%20mineral%20oil
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	Planet Kolob	1	http://www.last.fm/tag/planet%20kolob
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	Trip to Kolob	1	http://www.last.fm/tag/trip%20to%20kolob
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	muhammad approves	1	http://www.last.fm/tag/muhammad%20approves
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	taliban approved	1	http://www.last.fm/tag/taliban%20approved
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	club	1	http://www.last.fm/tag/club
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	A fashionable likeness of cylindrical awareness	1	http://www.last.fm/tag/a%20fashionable%20likeness%20of%20cylindrical%20awareness
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	KM	1	http://www.last.fm/tag/km
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	whore	1	http://www.last.fm/tag/whore
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	porno-grind	1	http://www.last.fm/tag/porno-grind
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	ladyparts	1	http://www.last.fm/tag/ladyparts
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	locohamster	1	http://www.last.fm/tag/locohamster
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	i want to see her boobs	1	http://www.last.fm/tag/i%20want%20to%20see%20her%20boobs
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	pretty genitalia	1	http://www.last.fm/tag/pretty%20genitalia
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	female woman lady	1	http://www.last.fm/tag/female%20woman%20lady
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	lady female	1	http://www.last.fm/tag/lady%20female
09b19ddf-bbe1-4f9a-a0e0-eb5bd929847f	female lady	1	http://www.last.fm/tag/female%20lady
