user	cluster
1	1	1
2	10	2
3	100	3
4	1000	4
5	1001	5
6	1002	6
7	1003	2
8	1004	1
9	1005	2
10	1006	2
11	1007	7
12	1008	1
13	1009	1
14	101	2
15	1011	5
16	1012	1
17	1013	7
18	1014	1
19	1015	2
20	1016	8
21	1017	1
22	1018	4
23	1019	1
24	102	1
25	1020	2
26	1021	1
27	1022	4
28	1023	6
29	1024	4
30	1025	1
31	1026	2
32	1027	5
33	1028	4
34	1029	5
35	103	1
36	1030	2
37	1031	5
38	1032	2
39	1033	6
40	1034	4
41	1035	1
42	1036	1
43	1037	1
44	1038	4
45	1039	5
46	104	3
47	1040	5
48	1041	4
49	1043	4
50	1044	1
51	1045	4
52	1046	1
53	1047	7
54	1048	8
55	1049	3
56	105	1
57	1050	1
58	1051	5
59	1052	8
60	1053	6
61	1054	6
62	1055	2
63	1056	8
64	1057	2
65	1058	1
66	1059	1
67	106	1
68	1060	3
69	1061	3
70	1062	2
71	1063	3
72	1064	1
73	1065	5
74	1066	3
75	1067	1
76	1068	1
77	1069	8
78	107	2
79	1070	1
80	1071	1
81	1072	2
82	1073	4
83	1074	7
84	1075	6
85	1076	3
86	1077	1
87	1078	5
88	1079	5
89	108	5
90	1080	1
91	1081	2
92	1082	1
93	1083	5
94	1084	2
95	1085	4
96	1086	2
97	1087	8
98	1088	3
99	1089	4
100	109	2
101	1090	8
102	1091	1
103	1092	3
104	1093	2
105	1094	7
106	1095	1
107	1096	2
108	1097	1
109	1098	1
110	1099	3
111	11	4
112	110	2
113	1100	4
114	1101	4
115	1102	1
116	1103	1
117	1104	1
118	1105	1
119	1106	3
120	1107	1
121	1108	1
122	1109	3
123	111	1
124	1110	4
125	1111	5
126	1112	4
127	1113	6
128	1114	1
129	1115	3
130	1116	1
131	1117	8
132	1118	6
133	1119	7
134	112	1
135	1120	4
136	1121	1
137	1122	1
138	1123	2
139	1124	3
140	1125	4
141	1126	5
142	1127	1
143	1128	4
144	1129	8
145	113	5
146	1130	8
147	1131	5
148	1132	5
149	1133	6
150	1134	1
151	1135	5
